llm_provider=openai
llm_model=deepseek-chat
llm_endpoint=https://api.deepseek.com

## scifact run 1
- raw_topk | scifact_scifact-raw-episode-101_claim_101_keyword | stub=scifact-raw-task-101: Supported: Moderate exercise improves sleep quality in older adults. | llm=Supported | stub_aqs=0.8667 | llm_aqs=0.5000
- workspace | scifact_scifact-raw-episode-101_claim_101_keyword | stub=scifact-raw-task-101: Supported: Moderate exercise improves sleep quality in older adults. | llm=Supported | stub_aqs=0.8667 | llm_aqs=0.5000
- raw_topk | scifact_scifact-raw-episode-102_claim_102_keyword | stub=scifact-raw-task-102: Refuted: Daily vitamin C prevents every seasonal cold. | llm=Refuted | stub_aqs=0.8667 | llm_aqs=0.5000
- workspace | scifact_scifact-raw-episode-102_claim_102_keyword | stub=scifact-raw-task-102: Refuted: Daily vitamin C prevents every seasonal cold. | llm=Refuted | stub_aqs=0.8667 | llm_aqs=0.5000

## scifact run 2
- raw_topk | scifact_scifact-raw-episode-101_claim_101_keyword | stub=scifact-raw-task-101: Supported: Moderate exercise improves sleep quality in older adults. | llm=Supported | stub_aqs=0.8667 | llm_aqs=0.5000
- workspace | scifact_scifact-raw-episode-101_claim_101_keyword | stub=scifact-raw-task-101: Supported: Moderate exercise improves sleep quality in older adults. | llm=Supported | stub_aqs=0.8667 | llm_aqs=0.5000
- raw_topk | scifact_scifact-raw-episode-102_claim_102_keyword | stub=scifact-raw-task-102: Refuted: Daily vitamin C prevents every seasonal cold. | llm=Refuted | stub_aqs=0.8667 | llm_aqs=0.5000
- workspace | scifact_scifact-raw-episode-102_claim_102_keyword | stub=scifact-raw-task-102: Refuted: Daily vitamin C prevents every seasonal cold. | llm=Refuted | stub_aqs=0.8667 | llm_aqs=0.5000

## scifact run 3
- raw_topk | scifact_scifact-raw-episode-101_claim_101_keyword | stub=scifact-raw-task-101: Supported: Moderate exercise improves sleep quality in older adults. | llm=Supported | stub_aqs=0.8667 | llm_aqs=0.5000
